sku,name,url_key
1006112,"Papilla Gerber gourmet Etapa 4 Pollo, Verduras y Papa 250 g",papilla-gerber-gourmet-etapa-4-pollo-verduras-y-papa-250-g
483478,Alfaré Fórmula para Lactantes con Necesidades Especiales de Nutrición 400 g,alfar-frmula-para-lactantes-con-necesidades-especiales-de-nutricin-400-g
923923,Nikzon 90 tabletas masticables,nikzon-90-tabletas-masticables
89753,Tenormin 100 mg 28 tabletas,tenormin-100-mg-28-tabletas
235768,Pinguino Marinela 80 g,pinguino-marinela-80-g
506931,Dorito Nacho 146 g,dorito-nacho-146-g
1008072,Jabón Barra Grisi Neutro 200 g,jabn-barra-grisi-neutro-200-g
946745,Cafiaspirina Forte 24 tabletas,cafiaspirina-forte-24-tabletas
890863,Indoxyl 5 g / 1 g / 100 g 30 g gel,indoxyl-5-g-1-g-100-g-30-g-gel
22950,Logimax 5 mg / 47.5 mg 14 tabletas,logimax-5-mg-47-5-mg-14-tabletas
489999,Detrusitol 2 mg 28 tabletas,detrusitol-2-mg-28-tabletas
1035460,GN H Bomb geen Tea Mask Hz,gn-h-bomb-geen-tea-mask-hz
1007554,Coca Cola Zero Vidrio 500 ml,coca-cola-zero-vidrio-500-ml
1000795,Nutrileche Ultrapasteurizada 1L,nutrileche-ultrapasteurizada-1l
1026371,Ciproflox Dm 1g 7 tabletas,ciproflox-dm-1g-7-tabletas
629367,Tempra Paracetamol Forte 650 mg c/24 tabletas,tempra-paracetamol-forte-650-mg-c-24-tabletas
577863,Ruffles Sal 53 g,ruffles-sal-53-g
118567,Melox Plus Menta 360 ml susp.,melox-plus-menta-360-ml-susp
958409,Pemix 1mg 30 sobres,pemix-1mg-30-sobres
1001975,Barcel Karameladas Pop 120 g,barcel-karameladas-pop-120-g
832758,Affective Active Pants Adulto Grande 10 pzas.,affective-active-pants-adulto-grande-10-pzas
105236,Bentyl 30 cápsulas caja,bentyl-30-cpsulas-caja
614637,Epival 250 mg 30 tabletas,epival-250-mg-30-tabletas
98116,Motilium 10 mg 30 tabletas,motilium-10-mg-30-tabletas
772089,Folivital c/90 tabletas 4 mg,folivital-c-90-tabletas-4-mg
898457,Blopress 8 mg 28 tabletas,blopress-8-mg-28-tabletas
212970,Calcort 6 mg tabletas caja c/20,calcort-6-mg-tabletas-caja-c-20
1011441,Le Roy Gasa Abs Estéril 7.5X5 cm 1ud.,le-roy-gasa-abs-estril-7-5x5-cm-1ud
965944,Eutirox 100 mcg tabletas c/50,eutirox-100-mcg-tabletas-c-50
1011201,Alevian Duo 100 mg / 300 mg 32 cápsulas,alevian-duo-100-mg-300-mg-32-cpsulas
1025988,QG5 10 tabletas,qg5-10-tabletas
1016776,Ruffles Queso Comparte 120 g,ruffles-queso-comparte-120-g
1003424,Tukol D jarabe Adulto 125 ml,tukol-d-jarabe-adulto-125-ml
1037170,Probiolog IBS 28 sobres,probiolog-ibs-28-sobres
692026,Co-Diovan 160 mg / 12.5 mg 14 tabletas,co-diovan-160-mg-12-5-mg-14-tabletas
1001976,Barcel Hot Nuts Jalapeno y Limón 100 g,barcel-hot-nuts-jalapeno-y-limn-100-g
381071,Pasta Dental Colgate Total 12 Clean Mint 100 ml,pasta-dental-colgate-total-12-clean-mint-100-ml
60879,Tenoretic 100 mg c/28 tabletas,tenoretic-100-mg-c-28-tabletas
1005027,Pañales Bbtips Etapa 5 40 uds.,paales-bbtips-etapa-5-40-uds
485217,Virazide 400 mg c/18 cápsulas,virazide-400-mg-c-18-cpsulas
1018256,Dolo Neurobión DC 3X3 ml Jep,dolo-neurobin-dc-3x3-ml-jep
764531,Tafirol c/20 tabletas 1 g.,tafirol-c-20-tabletas-1-g
908444,Yasmin 3 / 0.03 mg 21 grageas,yasmin-3-0-03-mg-21-grageas
94676,Refresco Manzanita sol 600 ml,refresco-manzanita-sol-600-ml
413747,Crestor 10 mg 30 tabletas,crestor-10-mg-30-tabletas
945714,Hidrasec granulado 10 mg 18 sobres,hidrasec-granulado-10-mg-18-sobres
171239,"Redoxon Vitamina C, 10 tabletas efervescentes, Sabor Naranja",redoxon-vitamina-c-10-tabletas-efervescentes-sabor-naranja
793175,Coca Cola sin Azucar No Ret 600 ml,coca-cola-sin-azucar-no-ret-600-ml
923192,Livial 2.5 mg 30 tabletas,livial-2-5-mg-30-tabletas
1027417,Ryzodeg Flextouch 70/30 U/ml 1 Pluma 3 ml,ryzodeg-flextouch-70-30-u-ml-1-pluma-3-ml
1020311,B-D Jeringa 0.5ml 31 g x 6 mm c/10 uds.,b-d-jeringa-0-5ml-31-g-x-6-mm-c-10-uds
189154,Synalar Ótico gotas 15 ml,synalar-tico-gotas-15-ml
70041,Lamictal Dispersable 25 mg 28 tabletas,lamictal-dispersable-25-mg-28-tabletas
1013674,Similac Isomil Etapa 1 850 g Fórmula Infantil a Base de Proteína de Soya,similac-isomil-etapa-1-850-g-frmula-infantil-a-base-de-protena-de-soya
1001641,Benadryl 24 tabletas 25 mg,benadryl-24-tabletas-25-mg
321257,Evista 60 mg 28 tabletas,evista-60-mg-28-tabletas
664472,Cloruro Etilo (Traumazol) 175 mL,cloruro-etilo-traumazol-175-ml
1011648,Comenter 30 mg c/30 tabletas,comenter-30-mg-c-30-tabletas
1017259,Indy Dedo 20 g,indy-dedo-20-g
744077,Renu Plus 8 ml gotas,renu-plus-8-ml-gotas
637947,Lactulax Jarabe 250 ml,lactulax-jarabe-250-ml
752177,Graneodín B Miel/Limón c/24 tabletas,graneodn-b-miel-limn-c-24-tabletas
637246,Nair crema Depiladora Piel Sensible 150 ml,nair-crema-depiladora-piel-sensible-150-ml
576700,Cetaphil Barra Dermolimpiadora,cetaphil-barra-dermolimpiadora
567426,"Saba Buenos Días, Toallas Femeninas Ultra Invisible, Flujo Moderado con Alas 14 pzas.",saba-buenos-das-toallas-femeninas-ultra-invisible-flujo-moderado-con-alas-14-pzas
1021381,Chips Ahoy 114 g,chips-ahoy-114-g
1036016,Nutribaby Et2 900 g,nutribaby-et2-900-g
1026096,Invokana 300 mg 30 tabletas,invokana-300-mg-30-tabletas
484725,Depend Predoblado Salvacamas 10 Un,depend-predoblado-salvacamas-10-un
301787,Sifrol 0.5 mg 30 tabletas,sifrol-0-5-mg-30-tabletas
507989,Refresh Tears Solución Lubricante Oftálmica 15 ml,refresh-tears-solucin-lubricante-oftlmica-15-ml
1036212,Rinoclenil 77 mg 30 ml susp.,rinoclenil-77-mg-30-ml-susp
1005202,AllegraD 60 mg / 25 mg 10 tabletas,allegrad-60-mg-25-mg-10-tabletas
1024204,Lamina Anticonceptiva Espermic VCF 1 ud.,lamina-anticonceptiva-espermic-vcf-1-ud
530301,Cheetos Torciditos Chico 48 g,cheetos-torciditos-chico-48-g
1032705,Arlevert 20 / 40 mg 20 tabletas,arlevert-20-40-mg-20-tabletas
1001841,Clarityne D 5/30 mg 10 tabletas,clarityne-d-5-30-mg-10-tabletas
1000114,Diovan 80 mg 30 comps.,diovan-80-mg-30-comps
1036207,Tempra Infantil Ibuprofeno Fen 2 a 12 Años 100 ml,tempra-infantil-ibuprofeno-fen-2-a-12-aos-100-ml
1022079,Humalog Mix 50 Kwikpen 100UI 1 jeringa prellenada,humalog-mix-50-kwikpen-100ui-1-jeringa-prellenada
577839,Sabritas Adobadas 45g,sabritas-adobadas-45g
1036582,Jabón Barra Palmolive Neutro Balance Dermolimpiador 4 uds. 100 g,jabn-barra-palmolive-neutro-balance-dermolimpiador-4-uds-100-g
1037754,Cerave crema Hidratante 454 g Hidrante Diario para Rostro y Cuerpo para Piel Seca,cerave-crema-hidratante-454-g-hidrante-diario-para-rostro-y-cuerpo-para-piel-seca
1024634,"Tampax Tampones para Flujo Abundante, 8 unidades.",tampax-tampones-para-flujo-abundante-8-unidades
97284,Coca Cola Light No Ret. 600 ml,coca-cola-light-no-ret-600-ml
1027024,Linzess 290 mcg 30 cápsulas (Linaclotida),linzess-290-mcg-30-cpsulas-linaclotida
1029273,Pañales Bbtips Etapa 6 40 uds.,paales-bbtips-etapa-6-40-uds
1016807,Lobivon 5 mg 14 comps.,lobivon-5-mg-14-comps
1016411,Spiriva Respimat 0.226 mg 4 ml aerosol,spiriva-respimat-0-226-mg-4-ml-aerosol
648051,Cerazette 0.075 mg 28 tabletas,cerazette-0-075-mg-28-tabletas
752215,Plantaben Naranja 3.5 mg 30 sobres,plantaben-naranja-3-5-mg-30-sobres
1023368,"Clarityne, loratadina 10 mg, 10 tabletas",clarityne-loratadina-10-mg-10-tabletas
1037222,Thealoz 3% Oft 10 ml sol,thealoz-3-oft-10-ml-sol
926698,Sabritas Adobadas Comparte 105 g,sabritas-adobadas-comparte-105-g
1024449,Pasta Dental Colgate Luminous White Brilliant 75 ml,pasta-dental-colgate-luminous-white-brilliant-75-ml
177563,Eternal Vitamina E 400UI 99 cápsulas,eternal-vitamina-e-400ui-99-cpsulas
945285,Tiras One Touch Ultra c/50,tiras-one-touch-ultra-c-50
311685,Firac Plus c/20 grageas,firac-plus-c-20-grageas
184152,Senosiain 1478 mg Rec Pediátrico 10 sup,senosiain-1478-mg-rec-peditrico-10-sup
175994,Condones Prudence Mix Sabor y Aroma con 5 piezas,condones-prudence-mix-sabor-y-aroma-con-5-piezas
1025036,Forxiga 10 mg 28 tabletas,forxiga-10-mg-28-tabletas
917133,Jabón Dove 4 Barras de 100 g,jabn-dove-4-barras-de-100-g
850365,Eutirox 50 mcg tabletas c/50,eutirox-50-mcg-tabletas-c-50
1002903,Althéra® 400 g Lata,althra-400-g-lata
1033266,Galdione 20 mg 30 comps.,galdione-20-mg-30-comps
1011395,Lodestar Zid 50 mg / 12.5 mg 30 tabletas,lodestar-zid-50-mg-12-5-mg-30-tabletas
1032988,Nestlé Carlos V sin Azúcar 17 g,nestl-carlos-v-sin-azcar-17-g
112372,Isorbid 40 tabletas caja,isorbid-40-tabletas-caja
1037599,"Pañales para Bebé Kleenbebé Suavelastic, Talla Mediano con 40 piezas",paales-para-beb-kleenbeb-suavelastic-talla-mediano-con-40-piezas
1000149,Sintrom 4 mg 30 tabletas,sintrom-4-mg-30-tabletas
856576,Aderogyl Vit C 3ml sol Ing c/5 amp.,aderogyl-vit-c-3ml-sol-ing-c-5-amp
1028751,Aretaeus 25 mg 30 tabletas,aretaeus-25-mg-30-tabletas
438596,Vermox Plus 30150 mg Oral con 2 tabletas,vermox-plus-30150-mg-oral-con-2-tabletas
487635,Tavor 5 mg c/30 comps.,tavor-5-mg-c-30-comps
739022,Folivital 0.4 mg c/90 tabletas,folivital-0-4-mg-c-90-tabletas
1028803,Brintellix 10 mg 28 tabletas,brintellix-10-mg-28-tabletas
196622,Kaomycin suspensión Oral 180 ml,kaomycin-suspensin-oral-180-ml
862525,Tradol 100 mg 10 ml gotas,tradol-100-mg-10-ml-gotas
1034975,Halls Extra Strong 25.2 g,halls-extra-strong-25-2-g
955051,Artelac gotas 10 ml,artelac-gotas-10-ml
856088,Mamut 44 g,mamut-44-g
1006632,Lantus 100 UI/ml Solostar 5X3 ml,lantus-100-ui-ml-solostar-5x3-ml
1028809,Kotex Tampones Super Plus 10 uds.,kotex-tampones-super-plus-10-uds
904333,Recoveron Nc 40 g cr.,recoveron-nc-40-g-cr
947199,Sirdalud 2 mg 20 comps.,sirdalud-2-mg-20-comps
1019918,Resotrans 2 mg 14 tabletas,resotrans-2-mg-14-tabletas
180270,Snelvit 90 cápsulas,snelvit-90-cpsulas
1026859,Relvare 30 dosis 100 mg / 25 mg 1 aerosol,relvare-30-dosis-100-mg-25-mg-1-aerosol
250708,Braxan 200 mg oral 20,braxan-200-mg-oral-20
1006931,Restasis 0.05% Emulsión Oftálmica 30 ampolletas,restasis-0-05-emulsin-oftlmica-30-ampolletas
1035073,"Fórmula Infantil Nan 1 Optimalpro, 0 a 6 Meses, 800 g",frmula-infantil-nan-1-optimalpro-0-a-6-meses-800-g
823074,Atacand Plus 16 mg / 12.5 mg 28 tabletas,atacand-plus-16-mg-12-5-mg-28-tabletas
1007636,Vannair 80 / 4.5 mcg aerosol,vannair-80-4-5-mcg-aerosol
1711,Dorixina Relax 125 mg / 5 mg 20 comps.,dorixina-relax-125-mg-5-mg-20-comps
1037885,Belabear Colágeno + Biotina 100 gomitas,belabear-colgeno-biotina-100-gomitas
1032214,Frisolac Gold sin Lactosa 400 g Lata,frisolac-gold-sin-lactosa-400-g-lata
1024591,Pemix 1mg 50 tabletas,pemix-1mg-50-tabletas
1032734,Gamo 14 tabletas caja,gamo-14-tabletas-caja
618810,Neurobión 60 grageas,neurobin-60-grageas
1016934,Trayenta 5 mg 30 tabletas,trayenta-5-mg-30-tabletas
1027958,Femelle One 30 mg 1 comprimido,femelle-one-30-mg-1-comprimido
1030554,Misdapre Rac 10 mg / 5 mg 28 tabletas,misdapre-rac-10-mg-5-mg-28-tabletas
43338,Cozaar 50 g 30 tabletas,cozaar-50-g-30-tabletas
560626,Desowen Mr Loción 60 ml,desowen-mr-locin-60-ml
55301,"Papilla Gerber Comidita Casera Etapa 2 Res, Verduras y Arroz 113 g",papilla-gerber-comidita-casera-etapa-2-res-verduras-y-arroz-113-g
1022835,Xarelto 2.5 mg 56 comps.,xarelto-2-5-mg-56-comps
216968,Syncol caja 24 comps.,syncol-caja-24-comps
781835,Pharmaton 30 cápsulas 40 mg,pharmaton-30-cpsulas-40-mg
1036572,Jabón Barra Palmolive Clásico 100 g,jabn-barra-palmolive-clsico-100-g
404,Té Nego Fuze Tea Sabor Durazno 600 ml,t-nego-fuze-tea-sabor-durazno-600-ml
112437,Premarin crema Vaginal 43 g,premarin-crema-vaginal-43-g
775290,Alevian Duo 100 mg / 300 mg 16 cápsulas,alevian-duo-100-mg-300-mg-16-cpsulas
166537,Pepto Bismol Plus 118 ml suspensión,pepto-bismol-plus-118-ml-suspensin
1027225,Cozaar XQ 100 mg / 5 mg 30 comps.,cozaar-xq-100-mg-5-mg-30-comps
1035609,Oralia 2 mg / 0.030 mg 21 tabletas,oralia-2-mg-0-030-mg-21-tabletas
1028806,RYBELSUS 3 MG 30 TAB,rybelsus-3-mg-30-tab
1009146,Desodorante Barra Dove Men Antitranspirante Clean Comfort 50 g,desodorante-barra-dove-men-antitranspirante-clean-comfort-50-g
20095,Legalon 70 mg 20 grageas,legalon-70-mg-20-grageas
1035578,"Fórmula Infantil Nan 3 Optimalpro Baja en Lactosa, 1 a 3 Años, 800 g",frmula-infantil-nan-3-optimalpro-baja-en-lactosa-1-a-3-aos-800-g
1035975,Shampoo Tresemmé Hidratación Profunda 750 ml,shampoo-tresemm-hidratacin-profunda-750-ml
827827,Tiras Optium,tiras-optium
1035106,Orangelart 200 mg 30 cápsulas,orangelart-200-mg-30-cpsulas
79812,Trident Xtracare Freshmint 16.32 g,trident-xtracare-freshmint-16-32-g
396079,Topamax 100 mg c/20 tabletas,topamax-100-mg-c-20-tabletas
98124,Motilium 1 mg 60 ml susp.,motilium-1-mg-60-ml-susp
598100,Daxon 500 mg 6 grageas,daxon-500-mg-6-grageas
1000085,Tafirol AC 500 mg c/15 tabletas,tafirol-ac-500-mg-c-15-tabletas
1022073,Banana Boat After Sun gel Aloe Vera 230 ml,banana-boat-after-sun-gel-aloe-vera-230-ml
559644,Daktarin Oral 2 g 78 ml Gel,daktarin-oral-2-g-78-ml-gel
1013875,GM Ketorolaco/Tramadol 10/25mg 10 cápsulas,gm-ketorolaco-tramadol-10-25mg-10-cpsulas
1036300,Vichy Minéral 89 Sérum Fortificador de la Piel 50 ml,vichy-minral-89-srum-fortificador-de-la-piel-50-ml
369349,Gerber Papilla Et2 Pera 113 g Fra,gerber-papilla-et2-pera-113-g-fra
683396,Prozac 20 mg 14 cápsulas,prozac-20-mg-14-cpsulas
385476,Viagra100 mg 1 tabletas,viagra100-mg-1-tabletas
22942,Pramigel 20 comps.,pramigel-20-comps
377678,Avodart 0.5 mg 30 cápsulas,avodart-0-5-mg-30-cpsulas
746436,"Desenfriol-Ito® Plus 80 mg, 24 tabletas masticables",desenfriol-ito-plus-80-mg-24-tabletas-masticables
1035100,Mictasol 400mg-100mg 16 comprimIdos,mictasol-400mg-100mg-16-comprimidos
1017413,Dexivant 60 mg 7 cápsulas,dexivant-60-mg-7-cpsulas
1021831,Venibyk 50 mg 28 tabletas,venibyk-50-mg-28-tabletas
1011000,Cronocaps 3mg c/30 cápsulas,cronocaps-3mg-c-30-cpsulas
503622,Luvox 100 mg c/15 Tab,luvox-100-mg-c-15-tab
26131,Dabex XR 500 mg 30 tabletas,dabex-xr-500-mg-30-tabletas
1025039,Forxiga 10 mg 14 tabletas,forxiga-10-mg-14-tabletas
493481,Plavix 75 mg tabletas c/14,plavix-75-mg-tabletas-c-14
1011633,Cardinit 5 mg 7 parches,cardinit-5-mg-7-parches
170704,Gatorade Bebida Isotónica Sabor Uva 1 L,gatorade-bebida-isotnica-sabor-uva-1-l
1002099,Friso Gold Etapa 3 800 g Lata,friso-gold-etapa-3-800-g-lata
1025073,Mennen Talco Azul 100 g,mennen-talco-azul-100-g
186813,Nazil Ofteno .1 % 15 ml gotas,nazil-ofteno-1-15-ml-gotas
1003862,Vasculflow tabletas con 30,vasculflow-tabletas-con-30
850381,Eutirox 75 mcg tabletas c/50,eutirox-75-mcg-tabletas-c-50
1010381,Zyrtec 10 mg 20 tabletas,zyrtec-10-mg-20-tabletas
899313,Micardis Plus 80 mg / 12.5 mg 14 tabletas,micardis-plus-80-mg-12-5-mg-14-tabletas
1004667,Rexona Women Clinical Classic 48 g,rexona-women-clinical-classic-48-g
592757,Oestrogel 60 mg / 100 g 80 g gel,oestrogel-60-mg-100-g-80-g-gel
764388,Materna 30 tabletas,materna-30-tabletas
632295,Always Protectores Diarios Largos 16 Unidades,always-protectores-diarios-largos-16-unidades
1005911,Ropa Interior Desechable Tena Pants Maxi Protect Talla Chica/Mediana 10 pzas.,ropa-interior-desechable-tena-pants-maxi-protect-talla-chica-mediana-10-pzas
1004202,Xarelto 10 mg 10 comps.,xarelto-10-mg-10-comps
218065,Chocolate Ferrero Rocher 3 piezas,chocolate-ferrero-rocher-3-piezas
368504,Gerber Papilla Et3 Manzana 170 g Fra,gerber-papilla-et3-manzana-170-g-fra
963062,Virlix 10 mg 10 tabletas,virlix-10-mg-10-tabletas
1037448,Papilla Gerber Junior Etapa 4 Frutas Mixtas Pouch 110 g,papilla-gerber-junior-etapa-4-frutas-mixtas-pouch-110-g
274437,Tylex 750 mg oral 20 tabletas,tylex-750-mg-oral-20-tabletas
1031469,Papilla Gerber Junior Etapa 4 Mango Pouch 110 g,papilla-gerber-junior-etapa-4-mango-pouch-110-g
377317,Myfungar Crema 20 g,myfungar-crema-20-g
494801,Sico condones Invisible c/9 pzas.,sico-condones-invisible-c-9-pzas
1023316,"Puramino Fórmula Especializada, 400 g",puramino-frmula-especializada-400-g
315044,Desodorante Barra Old Spice Fresh 50 g,desodorante-barra-old-spice-fresh-50-g
170658,Gatorade Bebida Isotónica Sabor Naranja 1L,gatorade-bebida-isotnica-sabor-naranja-1l
1004949,Pañales para Adulto Tena Slip Maxi Protect Talla Grande 10 pzas.,paales-para-adulto-tena-slip-maxi-protect-talla-grande-10-pzas
1028691,Giabri 100 mg 30 tabletas,giabri-100-mg-30-tabletas
79375,Inspra Ic 25 mg 30 tabletas,inspra-ic-25-mg-30-tabletas
